x,f_ij,contrib_m
0.18051575931232078,0.040449888,-0.017285258
0.19770773638968508,0.038992815,-0.016662613
0.21489971346704895,0.037454538,-0.016005268
0.2320916905444128,0.035843432,-0.015316802
0.24928366762177667,0.03416787,-0.014600793
0.26647564469914053,0.03243623,-0.013860819
0.2836676217765044,0.030656895,-0.013100464
0.30085959885386826,0.028838241,-0.012323308
0.3180515759312321,0.026988646,-0.011532929
0.335243553008596,0.025116498,-0.010732912
0.35243553008595985,0.023230154,-0.00992683
0.3696275071633237,0.02133802,-0.009118274
0.38681948424068757,0.019448442,-0.00831081
0.40401146131805143,0.017569825,-0.007508029
0.42120343839541574,0.015710535,-0.0067135077
0.4383954154727796,0.013878953,-0.0059308265
0.45558739255014347,0.01208345,-0.005163563
0.47277936962750733,0.010332406,-0.0044152974
0.4899713467048712,0.008634206,-0.003689614
0.507163323782235,0.006997224,-0.0029900903
0.5243553008595989,0.005429847,-0.0023203106
0.5415472779369628,0.0039404314,-0.0016838458
0.5587392550143266,0.002537381,-0.0010842868
0.5759312320916905,0.0012290608,-0.00052520866
0.5931232091690544,2.384372e-05,-1.0189023e-05
0.6103151862464182,-0.0010698903,0.0004571911
0.6275071633237821,-0.0020437483,0.0008733452
0.6446991404011464,-0.002889365,0.0012346985
0.6618911174785103,-0.003598366,0.0015376725
0.6790830945558741,-0.0041623674,0.0017786846
0.696275071633238,-0.004572993,0.0019541553
0.7134670487106018,-0.0048218574,0.0020605014
0.7306590257879657,-0.0049005933,0.002094147
0.7478510028653296,-0.004800815,0.0020515095
0.7650429799426934,-0.0045153163,0.0019295085
0.7822349570200573,-0.004043759,0.0017280001
0.7994269340974212,-0.003388253,0.001447886
0.816618911174785,-0.002550942,0.0010900818
0.8338108882521489,-0.0015339581,0.000655499
0.8510028653295132,-0.00033942703,0.00014504573
0.868194842406877,0.0010305159,-0.00044036543
0.8853868194842409,0.002573744,-0.0010998257
0.9025787965616048,0.004288118,-0.0018324209
0.9197707736389686,0.0061715078,-0.0026372408
0.9369627507163325,0.0082217865,-0.0035133767
0.9541547277936964,0.010436823,-0.0044599175
0.9713467048710602,0.012814475,-0.0054759486
0.9885386819484241,0.015352627,-0.006560565
1.0057306590257884,0.018049128,-0.0077128476
1.0229226361031518,0.020901866,-0.008931895
1.0401146131805161,0.023908703,-0.010216791
1.0573065902578795,0.027067501,-0.011566626
1.0744985673352438,0.030376107,-0.012980476
1.0916905444126073,0.03383244,-0.014457454
1.1088825214899716,0.03743434,-0.015996637
1.126074498567335,0.04117967,-0.017597111
1.1432664756446993,0.04506628,-0.019257957
1.1604584527220627,0.049092103,-0.020978294
1.177650429799427,0.05325497,-0.022757191
1.1948424068767913,0.057552725,-0.024593731
1.2120343839541547,0.061983243,-0.026487002
1.229226361031519,0.066544436,-0.028436115
1.2464183381088825,0.07123415,-0.03044015
1.2636103151862468,0.076050244,-0.03249819
1.2808022922636102,0.08099055,-0.034609307
1.2979942693409745,0.086053014,-0.036772624
1.315186246418338,0.09123548,-0.038987223
1.3323782234957022,0.09653577,-0.04125217
1.3495702005730656,0.10195176,-0.04356656
1.36676217765043,0.10748139,-0.04592951
1.3839541547277934,0.113122486,-0.04834009
1.4011461318051577,0.11887289,-0.050797384
1.418338108882522,0.12473047,-0.053300474
1.4355300859598854,0.13069315,-0.05584848
1.4527220630372497,0.13675874,-0.05844046
1.4699140401146131,0.14292517,-0.06107553
1.4871060171919774,0.14919022,-0.06375274
1.5042979942693409,0.15555185,-0.06647123
1.5214899713467052,0.16200675,-0.06922957
1.5386819484240686,0.16854973,-0.07202555
1.5558739255014329,0.1751751,-0.074856736
1.5730659025787963,0.18187745,-0.07772082
1.5902578796561606,0.1886512,-0.080615416
1.607449856733524,0.19549082,-0.08353816
