i_in,j_out,score
15,2,0.7006396055221558
14,2,0.6988282799720764
18,2,0.6578760147094727
18,9,0.46139633655548096
6,4,0.45456281304359436
2,9,0.4403497278690338
9,4,0.43483516573905945
17,2,0.42732521891593933
2,4,0.4229635000228882
5,2,0.41972461342811584
3,6,0.3899388015270233
22,6,0.38194820284843445
18,4,0.37683022022247314
9,9,0.3753179609775543
7,9,0.3749488890171051
7,4,0.3720760941505432
0,2,0.3519941568374634
17,6,0.35016515851020813
0,4,0.3491663634777069
23,9,0.348177045583725
