EA_method,seqKAN_spearman_mean,seqKAN_spearman_std,GRU_spearman_mean,GRU_spearman_std,delta_seq_minus_gru
permutation_window,0.9158908312937173,0.11415718254795872,0.7952612622128156,0.12079594386337457,0.12062956908090172
ig,1.0,0.0,0.9993939393939394,0.002267671143499345,0.00060606060606061
gradxinput,0.5006841514016153,0.0005586072802558824,0.5006841514016153,0.0005586072802558824,0.0
