t,mean_abs_wh,max_abs_wh
0,0.05623802915215492,0.4317285418510437
1,0.06282228976488113,0.5235081315040588
2,0.06629393994808197,0.5985892415046692
3,0.06762058287858963,0.5955263376235962
4,0.06797264516353607,0.645209550857544
5,0.06795695424079895,0.5974797606468201
6,0.06811238825321198,0.6143202781677246
7,0.06812858581542969,0.6483886241912842
8,0.06802846491336823,0.5998013615608215
9,0.06800882518291473,0.608170211315155
10,0.06808523833751678,0.6181573271751404
11,0.06809535622596741,0.6003240942955017
12,0.06808145344257355,0.6463181972503662
13,0.06796322762966156,0.5991226434707642
14,0.06809337437152863,0.6143052577972412
15,0.06811220943927765,0.6488035321235657
16,0.06801986694335938,0.5999758839607239
17,0.06799740344285965,0.6081503033638
18,0.0680813267827034,0.6181468367576599
19,0.06809454411268234,0.6003096103668213
20,0.06808044761419296,0.6463116407394409
21,0.067963607609272,0.5991325378417969
22,0.0680929571390152,0.614303708076477
23,0.06810954958200455,0.6488056182861328
24,0.06802000105381012,0.5999771952629089
25,0.06799759715795517,0.6081503629684448
26,0.06807603687047958,0.6181468963623047
27,0.06809237599372864,0.6003094911575317
28,0.06807677447795868,0.6463116407394409
29,0.06796334683895111,0.5991325974464417
30,0.068091981112957,0.614303708076477
31,0.06810720264911652,0.6488056182861328
32,0.06801380217075348,0.5999772548675537
33,0.06798513233661652,0.6081503629684448
34,0.06806875765323639,0.6181468963623047
35,0.06808120012283325,0.600309431552887
36,0.06806082278490067,0.6463116407394409
37,0.0679497942328453,0.5983690619468689
38,0.06808846443891525,0.614303708076477
39,0.06811019033193588,0.6488056182861328
40,0.06802074611186981,0.5999772548675537
41,0.06799130141735077,0.6081503629684448
42,0.06807149201631546,0.6181469559669495
43,0.0680757686495781,0.6003094911575317
44,0.06805762648582458,0.6463116407394409
45,0.06795109808444977,0.5983690619468689
46,0.06809224933385849,0.614303708076477
47,0.06811218708753586,0.6488056182861328
48,0.06801986694335938,0.5999772548675537
49,0.0679888054728508,0.6081503629684448
50,0.06807544082403183,0.6181468963623047
51,0.06808017194271088,0.6003094911575317
52,0.06806320697069168,0.6463116407394409
53,0.06795679777860641,0.5983690619468689
54,0.06809515506029129,0.614303708076477
55,0.06810270994901657,0.6488056182861328
56,0.06800739467144012,0.5999772548675537
57,0.06798815727233887,0.6081503629684448
58,0.0680769607424736,0.6181468963623047
59,0.06807363778352737,0.6003094911575317
60,0.06805608421564102,0.6463116407394409
61,0.06795329600572586,0.5983690619468689
62,0.0680941566824913,0.614303708076477
63,0.06810367852449417,0.6488056182861328
64,0.0680067166686058,0.5999772548675537
65,0.06798215210437775,0.6081503629684448
66,0.0680689662694931,0.6181468963623047
67,0.06807266175746918,0.600309431552887
68,0.06805231422185898,0.6463116407394409
69,0.067943274974823,0.5983690619468689
70,0.06808631122112274,0.614303708076477
71,0.06809192150831223,0.6488056182861328
72,0.06799829006195068,0.5993800163269043
73,0.06797870248556137,0.6081503629684448
74,0.06806668639183044,0.6181468963623047
75,0.06806903332471848,0.600309431552887
76,0.06805071234703064,0.6463116407394409
77,0.06794434785842896,0.5983690619468689
78,0.06808710098266602,0.614303708076477
79,0.06808553636074066,0.6488056182861328
80,0.0679980143904686,0.5993800163269043
81,0.06797973066568375,0.6081503629684448
82,0.06807269901037216,0.6181468963623047
83,0.06807902455329895,0.6003094911575317
84,0.06805774569511414,0.6463116407394409
85,0.0679478645324707,0.5983690619468689
86,0.06808889657258987,0.614303708076477
87,0.0680861622095108,0.6488056182861328
88,0.06799580901861191,0.5993800163269043
89,0.06798310577869415,0.6081503629684448
90,0.06807753443717957,0.6181468963623047
91,0.06808075308799744,0.600309431552887
92,0.06806155294179916,0.6463116407394409
93,0.06794358044862747,0.5983690619468689
94,0.0680832713842392,0.614303708076477
95,0.06808013468980789,0.6488056182861328
96,0.06799080222845078,0.5993800163269043
97,0.06798061728477478,0.6081503629684448
98,0.0680692121386528,0.6181468963623047
99,0.06807154417037964,0.6003094911575317
100,0.06805407255887985,0.6463116407394409
101,0.06793295592069626,0.5983690619468689
102,0.06807318329811096,0.614303708076477
103,0.06807151436805725,0.6488056182861328
104,0.06798144429922104,0.5993800163269043
105,0.06797684729099274,0.6081503629684448
106,0.06806448847055435,0.6181468963623047
107,0.06807275116443634,0.6003094911575317
108,0.06805922836065292,0.6463116407394409
109,0.06793438643217087,0.5983690619468689
110,0.06807469576597214,0.614303708076477
111,0.06807447969913483,0.6488056182861328
112,0.06798630207777023,0.5993800163269043
113,0.06797672063112259,0.6081503629684448
114,0.06806758046150208,0.6181468963623047
115,0.06807298213243484,0.6003094911575317
116,0.06805752962827682,0.6463116407394409
117,0.0679340809583664,0.5983690619468689
118,0.06807009875774384,0.614303708076477
119,0.06807222217321396,0.6488056182861328
120,0.0679817721247673,0.5975332260131836
121,0.06796779483556747,0.6081503629684448
122,0.06806842982769012,0.6181468963623047
123,0.06807733327150345,0.600309431552887
124,0.0680607408285141,0.6463116407394409
125,0.06793851405382156,0.5983690619468689
126,0.06807463616132736,0.614303708076477
127,0.06807708740234375,0.6488056182861328
