x,f_ij,contrib_m
-3.0,-0.6688272,-0.4686068
-2.982808022922636,-0.6691694,-0.4688466
-2.9656160458452723,-0.66944283,-0.46903816
-2.9484240687679084,-0.6696463,-0.46918073
-2.9312320916905446,-0.66977966,-0.46927416
-2.9140401146131807,-0.669842,-0.46931782
-2.896848137535817,-0.6698327,-0.46931133
-2.8796561604584525,-0.6697511,-0.46925417
-2.8624641833810887,-0.6695964,-0.46914575
-2.845272206303725,-0.669368,-0.46898577
-2.828080229226361,-0.66906536,-0.4687737
-2.810888252148997,-0.6686876,-0.46850902
-2.793696275071633,-0.66823405,-0.46819124
-2.7765042979942693,-0.6677041,-0.46781993
-2.7593123209169055,-0.66709715,-0.46739468
-2.7421203438395416,-0.6664125,-0.46691498
-2.7249283667621778,-0.6656493,-0.46638027
-2.707736389684814,-0.66480714,-0.4657902
-2.69054441260745,-0.6638852,-0.46514425
-2.673352435530086,-0.66288275,-0.4644419
-2.656160458452722,-0.6617991,-0.46368265
-2.638968481375358,-0.66063374,-0.46286616
-2.621776504297994,-0.659386,-0.46199194
-2.6045845272206303,-0.65805495,-0.46105936
-2.5873925501432664,-0.6566401,-0.46006808
-2.5702005730659025,-0.6551409,-0.45901763
-2.5530085959885387,-0.6535564,-0.4579075
-2.535816618911175,-0.65188605,-0.4567372
-2.518624641833811,-0.65012926,-0.4555063
-2.501432664756447,-0.6482852,-0.4542143
-2.4842406876790832,-0.6463533,-0.4528607
-2.467048710601719,-0.64433277,-0.45144504
-2.4498567335243555,-0.6422231,-0.44996697
-2.432664756446991,-0.64002347,-0.4484258
-2.4154727793696273,-0.6377332,-0.44682115
-2.3982808022922635,-0.63535184,-0.44515267
-2.3810888252148996,-0.6328785,-0.44341972
-2.3638968481375358,-0.6303125,-0.4416219
-2.346704871060172,-0.62765336,-0.4397588
-2.329512893982808,-0.6249001,-0.43782976
-2.312320916905444,-0.62205225,-0.43583444
-2.2951289398280803,-0.61910903,-0.4337723
-2.2779369627507164,-0.61607,-0.431643
-2.2607449856733526,-0.6129342,-0.42944595
-2.2435530085959883,-0.60970104,-0.4271807
-2.226361031518625,-0.6063715,-0.4248479
-2.2091690544412605,-0.6029483,-0.42244947
-2.1919770773638967,-0.5994345,-0.41998756
-2.174785100286533,-0.5958331,-0.4174643
-2.157593123209169,-0.59214705,-0.41488168
-2.140401146131805,-0.5883794,-0.4122419
-2.1232091690544412,-0.58453315,-0.4095471
-2.1060171919770774,-0.58061117,-0.40679917
-2.0888252148997135,-0.5766167,-0.4040005
-2.0716332378223496,-0.5725526,-0.40115303
-2.054441260744986,-0.5684219,-0.3982589
-2.037249283667622,-0.56422764,-0.39532024
-2.0200573065902576,-0.55997264,-0.39233902
-2.002865329512894,-0.5556602,-0.38931754
-1.9856733524355301,-0.5512931,-0.38625777
-1.9684813753581663,-0.54687434,-0.3831618
-1.9512893982808022,-0.54240704,-0.38003185
-1.9340974212034383,-0.5378942,-0.37686998
-1.9169054441260744,-0.53333867,-0.3736782
-1.8997134670487106,-0.5287437,-0.37045875
-1.8825214899713467,-0.52411205,-0.36721367
-1.8653295128939829,-0.51944685,-0.36394504
