x,f_ij,contrib_m
-3.0,-0.29376146,-0.12773782
-2.982808022922636,-0.2946113,-0.12810735
-2.9656160458452723,-0.29544702,-0.12847075
-2.9484240687679084,-0.2962665,-0.1288271
-2.9312320916905446,-0.29706788,-0.12917556
-2.9140401146131807,-0.29784918,-0.12951529
-2.896848137535817,-0.29860857,-0.12984551
-2.8796561604584525,-0.29934394,-0.13016528
-2.8624641833810887,-0.30005342,-0.13047378
-2.845272206303725,-0.300735,-0.13077015
-2.828080229226361,-0.30138683,-0.1310536
-2.810888252148997,-0.30200678,-0.13132317
-2.793696275071633,-0.30259305,-0.1315781
-2.7765042979942693,-0.30314362,-0.1318175
-2.7593123209169055,-0.3036566,-0.13204058
-2.7421203438395416,-0.30412996,-0.1322464
-2.7249283667621778,-0.3045618,-0.13243417
-2.707736389684814,-0.30495012,-0.13260303
-2.69054441260745,-0.30529302,-0.13275214
-2.673352435530086,-0.3055885,-0.13288063
-2.656160458452722,-0.3058346,-0.13298763
-2.638968481375358,-0.30602944,-0.13307236
-2.621776504297994,-0.30617103,-0.13313393
-2.6045845272206303,-0.30625737,-0.13317147
-2.5873925501432664,-0.30628654,-0.13318416
-2.5702005730659025,-0.30625662,-0.13317116
-2.5530085959885387,-0.30616564,-0.13313158
-2.535816618911175,-0.3060116,-0.1330646
-2.518624641833811,-0.30579263,-0.1329694
-2.501432664756447,-0.30550668,-0.13284504
-2.4842406876790832,-0.30515188,-0.13269077
-2.467048710601719,-0.30472618,-0.13250566
-2.4498567335243555,-0.30422774,-0.13228892
-2.432664756446991,-0.30365455,-0.13203968
-2.4154727793696273,-0.30300462,-0.13175707
-2.3982808022922635,-0.3022761,-0.13144028
-2.3810888252148996,-0.301467,-0.13108845
-2.3638968481375358,-0.3005753,-0.1307007
-2.346704871060172,-0.2995991,-0.13027623
-2.329512893982808,-0.2985364,-0.12981412
-2.312320916905444,-0.2973853,-0.12931359
-2.2951289398280803,-0.29614383,-0.12877375
-2.2779369627507164,-0.2948101,-0.1281938
-2.2607449856733526,-0.29338202,-0.12757282
-2.2435530085959883,-0.29185778,-0.12691003
-2.226361031518625,-0.2902374,-0.12620543
-2.2091690544412605,-0.2885236,-0.12546021
-2.1919770773638967,-0.28671938,-0.12467567
-2.174785100286533,-0.28482768,-0.123853095
-2.157593123209169,-0.2828514,-0.12299374
-2.140401146131805,-0.2807935,-0.122098885
-2.1232091690544412,-0.27865696,-0.12116984
-2.1060171919770774,-0.27644464,-0.12020785
-2.0888252148997135,-0.2741596,-0.11921424
-2.0716332378223496,-0.27180478,-0.11819027
-2.054441260744986,-0.26938304,-0.11713722
-2.037249283667622,-0.2668974,-0.11605638
-2.0200573065902576,-0.26435074,-0.114948995
-2.002865329512894,-0.2617461,-0.11381641
-1.9856733524355301,-0.25908634,-0.11265985
-1.9684813753581663,-0.25637445,-0.11148062
-1.9512893982808022,-0.25361335,-0.11028001
-1.9340974212034383,-0.25080603,-0.10905928
-1.9169054441260744,-0.24795538,-0.10781972
-1.8997134670487106,-0.24506444,-0.10656264
-1.8825214899713467,-0.24213606,-0.10528927
-1.8653295128939829,-0.23917323,-0.10400093
-1.848137535816619,-0.2361789,-0.10269889
-1.830945558739255,-0.23315603,-0.10138444
-1.813753581661891,-0.23010752,-0.10005884
-1.7965616045845272,-0.22703631,-0.098723374
-1.7793696275071633,-0.22394541,-0.09737934
-1.7621776504297995,-0.22083776,-0.09602802
-1.7449856733524356,-0.21771628,-0.09467069
-1.7277936962750715,-0.21458386,-0.093308605
-1.7106017191977076,-0.21144354,-0.091943085
-1.6934097421203438,-0.20829827,-0.09057541
-1.67621776504298,-0.20515093,-0.08920684
-1.659025787965616,-0.20200448,-0.08783865
-1.6418338108882522,-0.19886191,-0.08647215
-1.6246418338108883,-0.19572616,-0.085108615
-1.6074498567335243,-0.19260016,-0.083749324
-1.5902578796561604,-0.18948683,-0.08239554
-1.5730659025787965,-0.18638915,-0.081048556
-1.5558739255014327,-0.18331008,-0.079709664
-1.5386819484240688,-0.18025255,-0.078380145
-1.521489971346705,-0.17721948,-0.077061266
-1.5042979942693409,-0.17421386,-0.075754315
-1.487106017191977,-0.1712384,-0.07446048
-1.4699140401146131,-0.1682941,-0.07318019
-1.4527220630372493,-0.16538098,-0.071913466
-1.4355300859598854,-0.16249911,-0.07066033
-1.4183381088825215,-0.15964851,-0.069420785
-1.4011461318051575,-0.15682925,-0.06819487
-1.3839541547277936,-0.15404138,-0.06698261
-1.3667621776504297,-0.1512849,-0.06578399
-1.3495702005730659,-0.14855987,-0.06459905
-1.332378223495702,-0.1458664,-0.063427836
-1.3151862464183381,-0.14320447,-0.062270336
-1.2979942693409743,-0.1405741,-0.06112656
-1.2808022922636102,-0.13797536,-0.05999654
-1.2636103151862463,-0.13540834,-0.05888031
-1.2464183381088825,-0.13287304,-0.05777787
-1.2292263610315186,-0.13036951,-0.056689247
-1.2120343839541547,-0.12789778,-0.055614453
-1.1948424068767909,-0.12545794,-0.054553524
-1.1776504297994268,-0.12305002,-0.053506475
-1.160458452722063,-0.12067403,-0.05247331
-1.143266475644699,-0.118330024,-0.051454056
-1.1260744985673352,-0.11601809,-0.050448745
-1.1088825214899714,-0.113738224,-0.04945738
-1.0916905444126075,-0.11149049,-0.048479985
-1.0744985673352434,-0.10927494,-0.047516584
-1.0573065902578795,-0.10709161,-0.046567198
-1.0401146131805157,-0.104940526,-0.04563183
-1.0229226361031518,-0.10282177,-0.04471052
-1.005730659025788,-0.10073536,-0.043803275
-0.9885386819484241,-0.09868134,-0.042910118
-0.9713467048710602,-0.09665977,-0.04203107
-0.9541547277936964,-0.09467068,-0.04116614
-0.9369627507163325,-0.09271412,-0.04031536
-0.9197707736389686,-0.09079015,-0.039478753
-0.9025787965616043,-0.0888988,-0.038656324
-0.8853868194842405,-0.087040104,-0.037848096
-0.8681948424068766,-0.08521414,-0.037054103
-0.8510028653295127,-0.0834209,-0.036274344
-0.8338108882521489,-0.08166048,-0.03550885
-0.816618911174785,-0.07993289,-0.034757633
-0.7994269340974212,-0.07823819,-0.034020714
-0.7822349570200573,-0.07657643,-0.033298124
-0.7650429799426934,-0.074947655,-0.032589875
-0.7478510028653296,-0.07335188,-0.031895977
-0.7306590257879657,-0.071788624,-0.031216219
-0.7134670487106018,-0.07025582,-0.030549703
-0.696275071633238,-0.06875117,-0.029895427
-0.6790830945558737,-0.06727234,-0.02925238
-0.6618911174785098,-0.065817036,-0.028619561
-0.644699140401146,-0.064382926,-0.02799596
-0.6275071633237821,-0.0629677,-0.02738057
-0.6103151862464182,-0.061569057,-0.026772391
-0.5931232091690544,-0.06018466,-0.026170406
-0.5759312320916905,-0.05881222,-0.02557362
-0.5587392550143266,-0.0574494,-0.02498102
-0.5415472779369628,-0.056093905,-0.024391603
