t,cell_edge_contrib_mean,cell_edge_contrib_max,out_edge_contrib_mean,out_edge_contrib_max
0,0.0172872357070446,0.44057872891426086,0.056336987763643265,0.4283880591392517
1,0.017238879576325417,0.4412653148174286,0.06296581029891968,0.509145975112915
2,0.017751796171069145,0.441830575466156,0.06635601073503494,0.5591169595718384
3,0.01808765158057213,0.44350507855415344,0.06781626492738724,0.5701715350151062
4,0.01803653873503208,0.44081032276153564,0.06799626350402832,0.5780419111251831
5,0.018061302602291107,0.439253568649292,0.06798439472913742,0.5774704813957214
6,0.018108876422047615,0.4410248398780823,0.06809666752815247,0.5783403515815735
7,0.0181555338203907,0.4413347542285919,0.0681755393743515,0.578734278678894
8,0.018145067617297173,0.4404385983943939,0.06816565245389938,0.5797760486602783
9,0.018135765567421913,0.441012978553772,0.06815312057733536,0.5800514221191406
10,0.018113454803824425,0.4411228895187378,0.06811114400625229,0.5799986124038696
11,0.01820342242717743,0.44311416149139404,0.06824062764644623,0.5790284872055054
12,0.01807059347629547,0.440285325050354,0.06807003915309906,0.5809372663497925
13,0.018065448850393295,0.4387913644313812,0.06796503812074661,0.5785669088363647
14,0.018097974359989166,0.4407947361469269,0.06805547326803207,0.5788886547088623
15,0.01815742626786232,0.4415598213672638,0.06815779209136963,0.5788223147392273
16,0.01814102940261364,0.440593957901001,0.06815065443515778,0.5799486637115479
17,0.018124882131814957,0.44072529673576355,0.06812483817338943,0.5800710320472717
18,0.018106374889612198,0.44044965505599976,0.06808578968048096,0.5797288417816162
19,0.01818768121302128,0.44277477264404297,0.06821198016405106,0.5790258049964905
20,0.018070541322231293,0.4404805302619934,0.06806110590696335,0.5807058811187744
21,0.01806950755417347,0.43927961587905884,0.06797169148921967,0.5785696506500244
22,0.018102042376995087,0.44115838408470154,0.06806237250566483,0.5789731740951538
23,0.018157048150897026,0.44174903631210327,0.06815758347511292,0.5788837671279907
24,0.018146097660064697,0.440611869096756,0.06815579533576965,0.5798717737197876
25,0.018129223957657814,0.44082629680633545,0.0681341364979744,0.5801059603691101
26,0.018109604716300964,0.4406369924545288,0.06809115409851074,0.5797138214111328
27,0.01818259060382843,0.443037748336792,0.06820298731327057,0.5790740251541138
28,0.018058190122246742,0.4403901696205139,0.06803417205810547,0.5805913209915161
29,0.01806664653122425,0.439386785030365,0.0679594948887825,0.5783335566520691
30,0.018100136891007423,0.44136399030685425,0.0680583044886589,0.5789227485656738
31,0.018158789724111557,0.4419778287410736,0.06815852969884872,0.578853964805603
32,0.018137164413928986,0.4407493472099304,0.06814239919185638,0.5799987316131592
33,0.018118226900696754,0.4407399296760559,0.06810994446277618,0.5799980163574219
34,0.01811721734702587,0.4412526488304138,0.0681007131934166,0.5795343518257141
35,0.01817764714360237,0.44323378801345825,0.06819881498813629,0.5792794227600098
36,0.018043920397758484,0.44020596146583557,0.0680074393749237,0.580655574798584
37,0.018055040389299393,0.43909573554992676,0.06793294101953506,0.5780779123306274
38,0.018102962523698807,0.4414525628089905,0.06805923581123352,0.5787473320960999
39,0.018159938976168633,0.4419502913951874,0.06816286593675613,0.5789211392402649
40,0.018145019188523293,0.4410596191883087,0.0681578665971756,0.5800950527191162
41,0.018122008070349693,0.44098836183547974,0.06812109053134918,0.580146074295044
42,0.018143242225050926,0.44186773896217346,0.06814264506101608,0.5793821215629578
43,0.01818826049566269,0.4435431957244873,0.06822830438613892,0.5796196460723877
44,0.018051525577902794,0.4403150677680969,0.0680202916264534,0.580741822719574
45,0.0180633757263422,0.4392382800579071,0.06794875860214233,0.578119158744812
46,0.018120400607585907,0.44188690185546875,0.06809020787477493,0.5786917209625244
47,0.018182167783379555,0.4421253800392151,0.06820077449083328,0.5787537097930908
48,0.01815912500023842,0.4411959946155548,0.06818943470716476,0.5803160667419434
49,0.01813059113919735,0.4410531222820282,0.06813669204711914,0.5802056789398193
