i_in,j_out,score
8,15,0.43640100955963135
8,14,0.39643898606300354
6,17,0.37391170859336853
8,18,0.3467049300670624
4,9,0.34585151076316833
4,2,0.3364945650100708
6,5,0.3342742323875427
6,20,0.32536113262176514
6,3,0.32010501623153687
9,8,0.30500328540802
9,2,0.29661062359809875
4,18,0.29355743527412415
4,4,0.29068464040756226
8,17,0.288882315158844
9,18,0.2869054675102234
6,22,0.28583818674087524
9,9,0.2845040559768677
6,23,0.2813214361667633
6,10,0.2812744081020355
6,21,0.2774178385734558
