x,f_ij
-3.0,-0.6688272
-2.9849624060150375,-0.66913027
-2.969924812030075,-0.6693807
-2.954887218045113,-0.6695781
-2.9398496240601504,-0.6697218
-2.924812030075188,-0.6698114
-2.909774436090226,-0.6698465
-2.8947368421052633,-0.66982657
-2.8796992481203008,-0.6697513
-2.8646616541353382,-0.6696202
-2.8496240601503757,-0.6694328
-2.8345864661654137,-0.6691886
-2.819548872180451,-0.66888726
-2.8045112781954886,-0.6685282
-2.7894736842105265,-0.66811097
-2.774436090225564,-0.66763526
-2.7593984962406015,-0.6671004
-2.744360902255639,-0.6665062
-2.7293233082706765,-0.66585195
-2.7142857142857144,-0.6651373
-2.699248120300752,-0.66436183
-2.6842105263157894,-0.66352516
-2.6691729323308273,-0.66262674
-2.654135338345865,-0.66166615
-2.6390977443609023,-0.66064286
-2.6240601503759398,-0.65955645
-2.6090225563909772,-0.65840656
-2.593984962406015,-0.6571926
-2.5789473684210527,-0.65591425
-2.56390977443609,-0.65457094
-2.548872180451128,-0.6531624
-2.5338345864661656,-0.651688
-2.518796992481203,-0.6501473
-2.5037593984962405,-0.6485399
-2.488721804511278,-0.64686537
-2.473684210526316,-0.64512324
-2.4586466165413534,-0.6433129
-2.443609022556391,-0.64143413
-2.428571428571429,-0.63948643
-2.4135338345864663,-0.6374693
-2.398496240601504,-0.63538224
-2.3834586466165413,-0.6332249
-2.3684210526315788,-0.6309968
-2.3533834586466167,-0.6286974
-2.338345864661654,-0.6263264
-2.3233082706766917,-0.62388325
-2.3082706766917296,-0.6213675
-2.293233082706767,-0.6187787
-2.2781954887218046,-0.6161164
-2.263157894736842,-0.61338013
-2.2481203007518795,-0.6105696
-2.2330827067669174,-0.6076847
-2.218045112781955,-0.6047272
-2.2030075187969924,-0.6016993
-2.1879699248120303,-0.5986029
-2.172932330827068,-0.5954399
-2.1578947368421053,-0.5922125
-2.142857142857143,-0.5889225
-2.1278195488721803,-0.58557206
-2.112781954887218,-0.5821633
-2.0977443609022557,-0.578698
-2.082706766917293,-0.57517815
-2.067669172932331,-0.5716059
-2.0526315789473686,-0.5679834
-2.037593984962406,-0.56431234
-2.0225563909774436,-0.5605949
-2.007518796992481,-0.556833
-1.992481203007519,-0.5530288
-1.9774436090225564,-0.5491841
-1.962406015037594,-0.54530114
-1.9473684210526316,-0.54138166
-1.9323308270676693,-0.53742796
-1.9172932330827068,-0.53344196
-1.9022556390977443,-0.52942556
-1.887218045112782,-0.52538085
-1.8721804511278197,-0.5213098
-1.8571428571428572,-0.5172144
-1.8421052631578947,-0.51309675
-1.8270676691729324,-0.5089588
-1.81203007518797,-0.5048026
-1.7969924812030076,-0.5006301
-1.781954887218045,-0.49644333
-1.7669172932330828,-0.49224436
-1.7518796992481205,-0.48803508
-1.736842105263158,-0.4838176
-1.7218045112781954,-0.4795938
-1.7067669172932332,-0.47536588
-1.6917293233082709,-0.4711358
-1.6766917293233083,-0.46690547
-1.6616541353383458,-0.46267694
-1.6466165413533835,-0.45845225
-1.6315789473684212,-0.4542333
-1.6165413533834587,-0.4500223
-1.6015037593984962,-0.4458211
-1.586466165413534,-0.4416318
-1.5714285714285716,-0.4374563
-1.556390977443609,-0.43329674
-1.5413533834586466,-0.429155
-1.5263157894736843,-0.4250332
-1.511278195488722,-0.42093334
-1.4962406015037595,-0.4168573
-1.481203007518797,-0.4128061
-1.4661654135338347,-0.4087786
-1.4511278195488724,-0.40477332
-1.4360902255639099,-0.4007889
-1.4210526315789473,-0.39682382
-1.406015037593985,-0.3928768
-1.3909774436090228,-0.38894638
-1.3759398496240602,-0.3850311
-1.3609022556390977,-0.38112965
-1.3458646616541354,-0.37724054
-1.3308270676691731,-0.37336236
-1.3157894736842106,-0.3694937
-1.300751879699248,-0.3656332
-1.2857142857142858,-0.36177933
-1.2706766917293235,-0.3579308
-1.255639097744361,-0.35408622
-1.2406015037593985,-0.35024402
-1.2255639097744362,-0.34640294
-1.210526315789474,-0.34256148
-1.1954887218045114,-0.33871824
-1.1804511278195489,-0.33487186
-1.1654135338345866,-0.33102086
-1.1503759398496243,-0.3271639
-1.1353383458646618,-0.32329947
-1.1203007518796992,-0.3194262
-1.105263157894737,-0.31554273
-1.0902255639097747,-0.31164765
-1.0751879699248121,-0.30773944
-1.0601503759398496,-0.3038168
-1.0451127819548873,-0.29987824
-1.030075187969925,-0.29592246
-1.0150375939849625,-0.2919479
-1.0,-0.28795326
-0.9849624060150379,-0.28393704
-0.9699248120300754,-0.2798978
-0.9548872180451129,-0.27583435
-0.9398496240601504,-0.27174503
-0.9248120300751879,-0.26762858
-0.9097744360902258,-0.26348355
-0.8947368421052633,-0.25930846
-0.8796992481203008,-0.25510198
-0.8646616541353387,-0.25086263
-0.8496240601503762,-0.24658906
-0.8345864661654137,-0.24227983
-0.8195488721804511,-0.23793356
-0.8045112781954886,-0.23354878
-0.7894736842105265,-0.22912414
-0.774436090225564,-0.22465812
-0.7593984962406015,-0.22014949
-0.7443609022556394,-0.21559668
-0.7293233082706769,-0.21099977
-0.7142857142857144,-0.20636065
-0.6992481203007519,-0.20168136
-0.6842105263157894,-0.19696392
-0.6691729323308273,-0.19221033
-0.6541353383458648,-0.18742271
-0.6390977443609023,-0.18260299
-0.6240601503759402,-0.17775325
-0.6090225563909777,-0.17287558
-0.5939849624060152,-0.16797192
-0.5789473684210527,-0.16304433
-0.5639097744360901,-0.15809491
-0.5488721804511281,-0.15312563
-0.5338345864661656,-0.14813848
-0.518796992481203,-0.14313558
-0.503759398496241,-0.13811895
-0.48872180451127845,-0.13309059
-0.47368421052631593,-0.12805253
-0.4586466165413534,-0.12300682
